	Sort	Isolate Sort	Virus GENBANK accession	Species	Genome coverage	Genus
9641	9622.0	2	L: KF697142; M: KF697143; S: KF697144	Orthobunyavirus oropoucheense	Complete genome	Orthobunyavirus
9642	9623.0	3	L: KF697147; M: KF697145; S: KF697146	Orthobunyavirus oropoucheense	Complete genome	Orthobunyavirus
9643	9624.0	4	L: KP691627; M: KP691628; S: KP691629	Orthobunyavirus oropoucheense	Complete genome	Orthobunyavirus
9644	9625.0	5		Orthobunyavirus oropoucheense	No entry in Genbank	Orthobunyavirus
9648	9629.0	2	L: MH017276; M: MH017282; S: MH017270	Orthobunyavirus patoisense	Complete genome	Orthobunyavirus
9649	9630.0	3		Orthobunyavirus patoisense	No entry in Genbank	Orthobunyavirus
9656	9637.0	2	L: MK896486; M: MK896485; S: MK896484	Orthobunyavirus sanjuanense	Complete coding genome	Orthobunyavirus
9658	9639.0	2	L: HE795090; M: HE795091; S: HE795092	Orthobunyavirus schmallenbergense	Complete genome	Orthobunyavirus
9659	9640.0	3	L: HE795102; M: HE795103; S: HE795104	Orthobunyavirus schmallenbergense	Complete genome	Orthobunyavirus
9660	9641.0	4	L: HE795105; M: HE795106; S: HE795107	Orthobunyavirus schmallenbergense	Complete genome	Orthobunyavirus
9663	9644.0	2	L: KX100111; M: KX100110; S: KX100109	Orthobunyavirus shermanense	Complete genome	Orthobunyavirus
9667	9648.0	2		Orthobunyavirus simbuense	No entry in Genbank	Orthobunyavirus
9671	9652.0	2		Orthobunyavirus tacaiumaense	No entry in Genbank	Orthobunyavirus
9672	9653.0	3		Orthobunyavirus tacaiumaense	No entry in Genbank	Orthobunyavirus
9673	9654.0	4		Orthobunyavirus tacaiumaense	No entry in Genbank	Orthobunyavirus
9681	9662.0	2	L: KP792654; M: KP792653; S: KP792652	Orthobunyavirus teteense	Complete genome	Orthobunyavirus
9682	9663.0	3		Orthobunyavirus teteense	No entry in Genbank	Orthobunyavirus
9683	9664.0	4	M: EU409297	Orthobunyavirus teteense	Partial genome	Orthobunyavirus
9693	9674.0	2	L: JN572074; M: JN572075; S: JN572076	Orthobunyavirus wyeomyiae	Complete genome	Orthobunyavirus
9694	9675.0	3	L: KX579499; M: KX579500; S: KX579501	Orthobunyavirus wyeomyiae	Complete genome	Orthobunyavirus
9695	9676.0	4		Orthobunyavirus wyeomyiae	No entry in Genbank	Orthobunyavirus
9782	9763.0	2	L: KX611391; M: KX611392; S: KX611393	Frijoles phlebovirus	Complete genome	Phlebovirus
9797	9778.0	2	L: HM119404; M: HM119405; S: HM119406	Phlebovirus candiruense	Complete genome	Phlebovirus
9798	9779.0	3	L: HM466934; M: HM466935; S: HM466936	Phlebovirus candiruense	Complete genome	Phlebovirus
9799	9780.0	4	L: HM119422; M: HM119423; S: HM119424	Phlebovirus candiruense	Complete genome	Phlebovirus
9800	9781.0	5	L: HM119419; M: HM119420; S: HM119421	Phlebovirus candiruense	Complete genome	Phlebovirus
9801	9782.0	6	L: HM119428; M: HM119429; S: HM119430	Phlebovirus candiruense	Complete genome	Phlebovirus
9829	9810.0	2	L: KP863799; M: KP863800; S: KP863801	Phlebovirus napoliense	Complete genome	Phlebovirus
9830	9811.0	3	L: KY662287 ; S: KY662280	Phlebovirus napoliense	Partial genome	Phlebovirus
9831	9812.0	4	L: OU230765; M: OU230766; S: OU230767	Phlebovirus napoliense	Complete genome	Phlebovirus
9832	9813.0	5	L: GU135606; M: GU135607; S: GU135608	Phlebovirus napoliense	Partial genome	Phlebovirus
9833	9814.0	6	L: KY439873	Phlebovirus napoliense	Partial genome	Phlebovirus
9847	9828.0	2	L: HM043725	Phlebovirus salehabadense	Partial genome	Phlebovirus
9848	9829.0	3	L: MG573144; M: MG573145; S: MG573146	Phlebovirus salehabadense	Partial genome	Phlebovirus
9849	9830.0	4	L: GU446656	Phlebovirus salehabadense	Partial genome	Phlebovirus
9850	9831.0	5	L: JX472400; M: JX472401; S: JX472402	Phlebovirus salehabadense	Complete coding genome	Phlebovirus
9851	9832.0	6	L: MG573142; M: MG573143; S: MG573147	Phlebovirus salehabadense	Partial genome	Phlebovirus
9858	9839.0	2	L: KP272043; M: KP272045; S: KP272044	Phlebovirus toroense	Partial genome	Phlebovirus
9897	9878.0	2	L: JF838324; M: JF838325; S: JF838326	Uukuvirus uukuniemiense	Complete genome	Uukuvirus
9898	9879.0	3	L: JQ924562; M: JQ924563; S: JQ924564	Uukuvirus uukuniemiense	Complete coding genome	Uukuvirus
9899	9880.0	4		Uukuvirus uukuniemiense	No entry in Genbank	Uukuvirus
9900	9881.0	5		Uukuvirus uukuniemiense	No entry in Genbank	Uukuvirus
9901	9882.0	6		Uukuvirus uukuniemiense	No entry in Genbank	Uukuvirus
9939	9920.0	2	Seg1: KX882069 ; Seg2: KX882070; Seg3: KX882071; Seg4: KX882072; Seg5: KX882073; Seg6: KX882074; Seg7: KX882075; Seg8: KX882076	Mykissvirus tructae	Complete genome	Mykissvirus
10017	9998.0	2	KP900893	Alphahypovirus macrophominae	Partial genome	Alphahypovirus
10025	10006.0	2	MN617170	Betahypovirus sclerotiniae	Complete genome	Betahypovirus
10034	10015.0	2	LC333733	Epsilonhypovirus entoleucae	Coding-complete genome	Epsilonhypovirus
10036	10017.0	2	KP208178	Epsilonhypovirus japonicum	Complete genome	Epsilonhypovirus
10050	10031.0	2	MT157414	Thetahypovirus sclerotiniae	Coding-complete genome	Thetahypovirus
10055	10036.0	2	RNA1: AJ781401; RNA2: AJ781402	Cherry chlorotic rusty spot associated partitivirus	Complete genome	Alphapartitivirus
10062	10043.0	2	RNA1: KF963179; RNA2: KF963180	Heterobasidion partitivirus 13	Complete genome	Alphapartitivirus
10063	10044.0	3	RNA1: KF963181; RNA2: KF963182	Heterobasidion partitivirus 13	Partial genome	Alphapartitivirus
10064	10045.0	4	RNA1: KF963183; RNA2: KF963184	Heterobasidion partitivirus 13	Partial genome	Alphapartitivirus
10069	10050.0	2	RNA1: EU605883; RNA2: EU605884	Vicia cryptic virus	Complete genome	Alphapartitivirus
10070	10051.0	3	RNA1: EF173392; RNA2: EF173391	Vicia cryptic virus	Complete genome	Alphapartitivirus
10071	10052.0	4	RNA1: EF173396; RNA2: EF173395	Vicia cryptic virus	Complete genome	Alphapartitivirus
10072	10053.0	5	RNA1: EF173394; RNA2: EF173393	Vicia cryptic virus	Complete genome	Alphapartitivirus
10073	10054.0	6	RNA1: EF173389	Vicia cryptic virus	Partial genome	Alphapartitivirus
10074	10055.0	7	RNA2: EF173390	Vicia cryptic virus	Partial genome	Alphapartitivirus
10078	10059.0	2	RNA1: KX709964; RNA2: KX709965	Cannabis cryptic virus	Complete genome	Betapartitivirus
10080	10061.0	2	RNA1: AY247204; RNA2: AY247205	Ceratocystis resinifera virus 1	Complete genome	Betapartitivirus
10081	10062.0	3	RNA1: AY260756; RNA2: AY260757	Ceratocystis resinifera virus 1	Complete genome	Betapartitivirus
10085	10066.0	2	RNA1: LC150606; RNA2: LC150607	Fusarium poae virus 1	Complete genome	Betapartitivirus
10087	10068.0	2	RNA1: KF551880	Heterobasidion partitivirus 2	Partial genome	Betapartitivirus
10088	10069.0	3	RNA1: KF551881	Heterobasidion partitivirus 2	Partial genome	Betapartitivirus
10089	10070.0	4	RNA1: KF551882	Heterobasidion partitivirus 2	Partial genome	Betapartitivirus
10090	10071.0	5	RNA1: KF551883	Heterobasidion partitivirus 2	Partial genome	Betapartitivirus
10091	10072.0	6	RNA1: KF551884	Heterobasidion partitivirus 2	Partial genome	Betapartitivirus
10092	10073.0	7	RNA1: KF551885	Heterobasidion partitivirus 2	Partial genome	Betapartitivirus
10094	10075.0	2	RNA1: KF551886	Heterobasidion partitivirus 7	Partial genome	Betapartitivirus
10095	10076.0	3	RNA1: KF551887	Heterobasidion partitivirus 7	Partial genome	Betapartitivirus
10106	10087.0	2	RNA1: U95995; RNA2: U95996	Cryptosporidium parvum virus 1	Partial genome	Cryspovirus
10112	10093.0	2	RNA1: LC195294; RNA2: LC195295	Pepper cryptic virus 2	Complete genome	Deltapartitivirus
10118	10099.0	2	RNA1: AY615211; RNA2: AY615212; RNA3: AY615213	Gremmeniella abietina RNA virus MS1	Complete genome	Gammapartitivirus
10122	10103.0	2	RNA1: AM040148; RNA2: AM040149	Penicillium stoloniferum virus S	Complete genome	Gammapartitivirus
10141	10122.0	2	RNA2: AF246939	Orthopicobirnavirus hominis	Partial genome	Orthopicobirnavirus
10142	10123.0	3	RNA2: AF246940	Orthopicobirnavirus hominis	Partial genome	Orthopicobirnavirus
10179	10160.0	2	JX503061	Human coronavirus 229E	Complete genome	Alphacoronavirus
10213	10194.0	2	KY352407	Severe acute respiratory syndrome-related coronavirus	Complete genome	Betacoronavirus
10214	10195.0	3	MN908947	Severe acute respiratory syndrome-related coronavirus	Complete genome	Betacoronavirus
10215	10196.0	4	AY613950	Severe acute respiratory syndrome-related coronavirus	Complete genome	Betacoronavirus
10225	10206.0	2	KF793824	Beluga whale coronavirus SW1	Complete genome	Gammacoronavirus
10284	10265.0	2	AY082891	Newbury 1 virus	Complete genome	Nebovirus
10286	10267.0	2	X86557	Norwalk virus	Complete genome	Norovirus
10287	10268.0	3	AY032605	Norwalk virus	Complete genome	Norovirus
10288	10269.0	4	AJ011099	Norwalk virus	Complete genome	Norovirus
10289	10270.0	5	AF195847	Norwalk virus	Partial genome	Norovirus
10290	10271.0	6	AY228235	Norwalk virus	Complete genome	Norovirus
10291	10272.0	7	GQ443611	Norwalk virus	Partial genome	Norovirus
10292	10273.0	8	FJ692500	Norwalk virus	Complete genome	Norovirus
10293	10274.0	9	AJ844470	Norwalk virus	Partial genome	Norovirus
10294	10275.0	10	KJ196290	Norwalk virus	Complete genome	Norovirus
10295	10276.0	11	KJ790198	Norwalk virus	Partial genome	Norovirus
10299	10280.0	2	X86560	Sapporo virus	Complete genome	Sapovirus
10300	10281.0	3	AJ249939	Sapporo virus	Complete genome	Sapovirus
10301	10282.0	4	AF182760	Sapporo virus	Complete genome	Sapovirus
10302	10283.0	5	DQ058829	Sapporo virus	Complete genome	Sapovirus
10303	10284.0	6	AY646856	Sapporo virus	Complete genome	Sapovirus
10362	10343.0	2	JN936206	Bovine rhinitis A virus	Coding-complete genome	Aphthovirus
10364	10345.0	2	KY432299	Bovine rhinitis B virus	Complete genome	Aphthovirus
10365	10346.0	3	KP264975	Bovine rhinitis B virus	Complete genome	Aphthovirus
10366	10347.0	4	KU168861	Bovine rhinitis B virus	Complete genome	Aphthovirus
10367	10348.0	5	KU159360	Bovine rhinitis B virus	Complete genome	Aphthovirus
10370	10351.0	2	AY593752	Foot-and-mouth disease virus	Complete genome	Aphthovirus
10371	10352.0	3	AY593805	Foot-and-mouth disease virus	Complete genome	Aphthovirus
10372	10353.0	4	DQ533483	Foot-and-mouth disease virus	Complete genome	Aphthovirus
10373	10354.0	5	AY593840	Foot-and-mouth disease virus	Complete genome	Aphthovirus
10374	10355.0	6	AY593849	Foot-and-mouth disease virus	Complete genome	Aphthovirus
10375	10356.0	7	AY593850	Foot-and-mouth disease virus	Complete genome	Aphthovirus
10378	10359.0	2	JX257003	Cardiovirus A	Complete genome	Cardiovirus
10380	10361.0	2	JX443418	Cardiovirus B	Complete genome	Cardiovirus
10381	10362.0	3	M16020	Cardiovirus B	Complete genome	Cardiovirus
10382	10363.0	4	M80888; M94868; EU723237	Cardiovirus B	Partial genome	Cardiovirus
10383	10364.0	5	MF172923	Cardiovirus B	Complete genome	Cardiovirus
10384	10365.0	6	AB090161	Cardiovirus B	Complete genome	Cardiovirus
10385	10366.0	7	MF416403	Cardiovirus B	Complete genome	Cardiovirus
10387	10368.0	2	JX683808	Cardiovirus C	Partial genome	Cardiovirus
10388	10369.0	3	MF352424	Cardiovirus C	Complete genome	Cardiovirus
10390	10371.0	2	EU376394	Cardiovirus D	Complete genome	Cardiovirus
10391	10372.0	3	HM181996	Cardiovirus D	Complete genome	Cardiovirus
10392	10373.0	4	AB747251	Cardiovirus D	Complete genome	Cardiovirus
10393	10374.0	5	FJ463615	Cardiovirus D	Complete genome	Cardiovirus
10394	10375.0	6	FJ463617	Cardiovirus D	Complete genome	Cardiovirus
10395	10376.0	7	AB747254	Cardiovirus D	Complete genome	Cardiovirus
10396	10377.0	8	AB747255	Cardiovirus D	Complete genome	Cardiovirus
10397	10378.0	9	AB747256	Cardiovirus D	Complete genome	Cardiovirus
10398	10379.0	10	AB747257	Cardiovirus D	Complete genome	Cardiovirus
10399	10380.0	11	AB747258	Cardiovirus D	Complete genome	Cardiovirus
10403	10384.0	2	FJ438903	Cosavirus A	Coding-complete genome	Cosavirus
10404	10385.0	3	FJ438904	Cosavirus A	Partial genome	Cosavirus
10405	10386.0	4	FJ438905; FJ438906	Cosavirus A	Partial genome	Cosavirus
10406	10387.0	5	JN867771	Cosavirus A	Partial genome	Cosavirus
10407	10388.0	6	JN867790	Cosavirus A	Partial genome	Cosavirus
10408	10389.0	7	JN867768	Cosavirus A	Partial genome	Cosavirus
10409	10390.0	8	JN867776	Cosavirus A	Partial genome	Cosavirus
10410	10391.0	9	JN867763	Cosavirus A	Partial genome	Cosavirus
10411	10392.0	10	JN867772	Cosavirus A	Partial genome	Cosavirus
10412	10393.0	11	JN867760	Cosavirus A	Partial genome	Cosavirus
10413	10394.0	12	JN867774	Cosavirus A	Partial genome	Cosavirus
10414	10395.0	13	JN867764	Cosavirus A	Partial genome	Cosavirus
10415	10396.0	14	JN867773	Cosavirus A	Partial genome	Cosavirus
10416	10397.0	15	JN867780	Cosavirus A	Partial genome	Cosavirus
10417	10398.0	16	JN867767	Cosavirus A	Partial genome	Cosavirus
10418	10399.0	17	JN867769	Cosavirus A	Partial genome	Cosavirus
10419	10400.0	18	JN867775	Cosavirus A	Partial genome	Cosavirus
10420	10401.0	19	JN867759	Cosavirus A	Coding-complete genome	Cosavirus
10421	10402.0	20	JN867756	Cosavirus A	Coding-complete genome	Cosavirus
10422	10403.0	21	JQ811826	Cosavirus A	Partial genome	Cosavirus
10423	10404.0	22	JQ811825	Cosavirus A	Partial genome	Cosavirus
10424	10405.0	23	JQ811821	Cosavirus A	Partial genome	Cosavirus
10425	10406.0	24	JQ811830	Cosavirus A	Partial genome	Cosavirus
10428	10409.0	2	JN867762	Cosavirus D	Partial genome	Cosavirus
10429	10410.0	3	JN867777	Cosavirus D	Partial genome	Cosavirus
10430	10411.0	4	JN867761	Cosavirus D	Partial genome	Cosavirus
10431	10412.0	5	JN867778	Cosavirus D	Partial genome	Cosavirus
10435	10416.0	2	AF361253	Erbovirus A	Complete genome	Erbovirus
10436	10417.0	3	DQ108383	Erbovirus A	Partial genome	Erbovirus
10438	10419.0	2	HM153767	Hunnivirus A	Complete genome	Hunnivirus
10439	10420.0	3	KJ950971	Hunnivirus A	Complete genome	Hunnivirus
10440	10421.0	4	KT944199	Hunnivirus A	Partial genome	Hunnivirus
10441	10422.0	5	KX156157	Hunnivirus A	Complete genome	Hunnivirus
10442	10423.0	6	KT944214	Hunnivirus A	Complete genome	Hunnivirus
10443	10424.0	7	KT944212	Hunnivirus A	Complete genome	Hunnivirus
10444	10425.0	8	KY432925	Hunnivirus A	Complete genome	Hunnivirus
10454	10435.0	2	KF958461	Mosavirus A	Complete genome	Mosavirus
10457	10438.0	2	KY432934	Mupivirus A	Complete genome	Mupivirus
10460	10441.0	2	AF296087	Teschovirus A	Complete genome	Teschovirus
10461	10442.0	3	AF296088	Teschovirus A	Complete genome	Teschovirus
10462	10443.0	4	AF296089	Teschovirus A	Complete genome	Teschovirus
10463	10444.0	5	AF296090	Teschovirus A	Complete genome	Teschovirus
10464	10445.0	6	AF296091	Teschovirus A	Complete genome	Teschovirus
10465	10446.0	7	AF296092	Teschovirus A	Complete genome	Teschovirus
10466	10447.0	8	AF296093	Teschovirus A	Complete genome	Teschovirus
10467	10448.0	9	AF296094	Teschovirus A	Complete genome	Teschovirus
10468	10449.0	10	AF296095	Teschovirus A	Complete genome	Teschovirus
10469	10450.0	11	AF296096	Teschovirus A	Complete genome	Teschovirus
10470	10451.0	12	JF724001	Teschovirus A	Partial genome	Teschovirus
10471	10452.0	13	JQ429405	Teschovirus A	Complete genome	Teschovirus
10472	10453.0	14	LC386160	Teschovirus A	Partial genome	Teschovirus
10474	10455.0	2	LC386157	Teschovirus B	Complete genome	Teschovirus
10475	10456.0	3	MG875516	Teschovirus B	Partial genome	Teschovirus
10482	10463.0	2	LC036580	Boosepivirus B	Complete genome	Boosepivirus
10487	10468.0	2	AY421761	Enterovirus A	Complete genome	Enterovirus
10488	10469.0	3	AY421762	Enterovirus A	Complete genome	Enterovirus
10489	10470.0	4	AY421763	Enterovirus A	Complete genome	Enterovirus
10490	10471.0	5	AY421764	Enterovirus A	Complete genome	Enterovirus
10491	10472.0	6	AY421765	Enterovirus A	Complete genome	Enterovirus
10492	10473.0	7	AY421766	Enterovirus A	Complete genome	Enterovirus
10493	10474.0	8	AY421767	Enterovirus A	Complete genome	Enterovirus
10494	10475.0	9	AY421768	Enterovirus A	Complete genome	Enterovirus
10495	10476.0	10	AY421769	Enterovirus A	Complete genome	Enterovirus
10496	10477.0	11	U05876	Enterovirus A	Complete genome	Enterovirus
10497	10478.0	12	U22521	Enterovirus A	Complete genome	Enterovirus
10498	10479.0	13	AY697458	Enterovirus A	Complete genome	Enterovirus
10499	10480.0	14	AY697459	Enterovirus A	Complete genome	Enterovirus
10500	10481.0	15	AY697460	Enterovirus A	Complete genome	Enterovirus
10501	10482.0	16	AY697461	Enterovirus A	Complete genome	Enterovirus
10502	10483.0	17	EF667344	Enterovirus A	Complete genome	Enterovirus
10503	10484.0	18	KU355876	Enterovirus A	Complete genome	Enterovirus
10504	10485.0	19	KC787153	Enterovirus A	Partial genome	Enterovirus
10505	10486.0	20	LK021688	Enterovirus A	Complete genome	Enterovirus
10506	10487.0	21	KU355877	Enterovirus A	Complete genome	Enterovirus
10507	10488.0	22	AF326754	Enterovirus A	Complete genome	Enterovirus
10508	10489.0	23	AF326761	Enterovirus A	Complete genome	Enterovirus
10509	10490.0	24	AF326764	Enterovirus A	Complete genome	Enterovirus
10510	10491.0	25	AF326750	Enterovirus A	Complete genome	Enterovirus
10512	10493.0	2	M16560	Enterovirus B	Complete genome	Enterovirus
10513	10494.0	3	AF081485	Enterovirus B	Complete genome	Enterovirus
10514	10495.0	4	X05690	Enterovirus B	Complete genome	Enterovirus
10515	10496.0	5	AF114383	Enterovirus B	Complete genome	Enterovirus
10516	10497.0	6	AF039205	Enterovirus B	Complete genome	Enterovirus
10517	10498.0	7	D00627	Enterovirus B	Complete genome	Enterovirus
10518	10499.0	8	AF029859	Enterovirus B	Complete genome	Enterovirus
10519	10500.0	9	AF250874	Enterovirus B	Partial genome	Enterovirus
10520	10501.0	10	AY302545	Enterovirus B	Complete genome	Enterovirus
10521	10502.0	11	AY302553	Enterovirus B	Complete genome	Enterovirus
10522	10503.0	12	AY302557	Enterovirus B	Complete genome	Enterovirus
10523	10504.0	13	AF083069	Enterovirus B	Complete genome	Enterovirus
10524	10505.0	14	AY302558	Enterovirus B	Complete genome	Enterovirus
10525	10506.0	15	AY302559	Enterovirus B	Complete genome	Enterovirus
10526	10507.0	16	X84981	Enterovirus B	Complete genome	Enterovirus
10527	10508.0	17	X80059	Enterovirus B	Complete genome	Enterovirus
10528	10509.0	18	X79047	Enterovirus B	Complete genome	Enterovirus
10529	10510.0	19	AY302539	Enterovirus B	Complete genome	Enterovirus
10530	10511.0	20	AY302540	Enterovirus B	Complete genome	Enterovirus
10531	10512.0	21	AY302541	Enterovirus B	Complete genome	Enterovirus
10532	10513.0	22	AY302542	Enterovirus B	Complete genome	Enterovirus
10533	10514.0	23	AY302543	Enterovirus B	Complete genome	Enterovirus
10534	10515.0	24	AF317694	Enterovirus B	Complete genome	Enterovirus
10535	10516.0	25	AY302544	Enterovirus B	Complete genome	Enterovirus
10536	10517.0	26	AY302546	Enterovirus B	Complete genome	Enterovirus
10537	10518.0	27	AY302547	Enterovirus B	Complete genome	Enterovirus
10538	10519.0	28	AY302548	Enterovirus B	Complete genome	Enterovirus
10539	10520.0	29	AY302549	Enterovirus B	Complete genome	Enterovirus
10540	10521.0	30	AY302550	Enterovirus B	Complete genome	Enterovirus
10541	10522.0	31	AY302551	Enterovirus B	Complete genome	Enterovirus
10542	10523.0	32	AY302552	Enterovirus B	Complete genome	Enterovirus
10543	10524.0	33	AF162711	Enterovirus B	Complete genome	Enterovirus
10544	10525.0	34	AY302554	Enterovirus B	Complete genome	Enterovirus
10545	10526.0	35	AY302555	Enterovirus B	Complete genome	Enterovirus
10546	10527.0	36	AY302556	Enterovirus B	Complete genome	Enterovirus
10547	10528.0	37	AY302560	Enterovirus B	Complete genome	Enterovirus
10548	10529.0	38	AF241359	Enterovirus B	Complete genome	Enterovirus
10549	10530.0	39	AY556057	Enterovirus B	Complete genome	Enterovirus
10550	10531.0	40	AY556070	Enterovirus B	Complete genome	Enterovirus
10551	10532.0	41	AJ493062	Enterovirus B	Complete genome	Enterovirus
10552	10533.0	42	AY208120	Enterovirus B	Partial genome	Enterovirus
10553	10534.0	43	AY843297	Enterovirus B	Complete genome	Enterovirus
10554	10535.0	44	AY843298	Enterovirus B	Complete genome	Enterovirus
10555	10536.0	45	AY843299	Enterovirus B	Complete genome	Enterovirus
10556	10537.0	46	AY843300	Enterovirus B	Complete genome	Enterovirus
10557	10538.0	47	AY843301	Enterovirus B	Complete genome	Enterovirus
10558	10539.0	48	DQ902712	Enterovirus B	Complete genome	Enterovirus
10559	10540.0	49	AY843303	Enterovirus B	Complete genome	Enterovirus
10560	10541.0	50	AY843304	Enterovirus B	Complete genome	Enterovirus
10561	10542.0	51	AY843305	Enterovirus B	Complete genome	Enterovirus
10562	10543.0	52	AY843306	Enterovirus B	Complete genome	Enterovirus
10563	10544.0	53	KM273013	Enterovirus B	Partial genome	Enterovirus
10564	10545.0	54	AY843307	Enterovirus B	Complete genome	Enterovirus
10565	10546.0	55	AB426608	Enterovirus B	Complete genome	Enterovirus
10566	10547.0	56	DQ902713	Enterovirus B	Complete genome	Enterovirus
10567	10548.0	57	AY843308	Enterovirus B	Complete genome	Enterovirus
10568	10549.0	58	KF990476	Enterovirus B	Complete genome	Enterovirus
10569	10550.0	59	AB426609	Enterovirus B	Complete genome	Enterovirus
10570	10551.0	60	JF416928; JF416931; JF416934; JF416937	Enterovirus B	Partial genome	Enterovirus
10571	10552.0	61	KF312882	Enterovirus B	Complete genome	Enterovirus
10572	10553.0	62	KJ418244	Enterovirus B	Complete genome	Enterovirus
10573	10554.0	63	KJ701249	Enterovirus B	Complete genome	Enterovirus
10574	10555.0	64	AF326751	Enterovirus B	Complete genome	Enterovirus
10576	10557.0	2	V01150	Enterovirus C	Complete genome	Enterovirus
10577	10558.0	3	M12197	Enterovirus C	Complete genome	Enterovirus
10578	10559.0	4	X00595	Enterovirus C	Complete genome	Enterovirus
10579	10560.0	5	K01392	Enterovirus C	Complete genome	Enterovirus
10580	10561.0	6	X00925	Enterovirus C	Complete genome	Enterovirus
10581	10562.0	7	AF499635	Enterovirus C	Complete genome	Enterovirus
10582	10563.0	8	AF499636	Enterovirus C	Complete genome	Enterovirus
10583	10564.0	9	AF499637	Enterovirus C	Complete genome	Enterovirus
10584	10565.0	10	AF499640	Enterovirus C	Complete genome	Enterovirus
10585	10566.0	11	AF499639	Enterovirus C	Complete genome	Enterovirus
10586	10567.0	12	AF499641	Enterovirus C	Complete genome	Enterovirus
10587	10568.0	13	AF499642	Enterovirus C	Complete genome	Enterovirus
10588	10569.0	14	AF546702	Enterovirus C	Complete genome	Enterovirus
10589	10570.0	15	AF499643	Enterovirus C	Complete genome	Enterovirus
10590	10571.0	16	EF026081	Enterovirus C	Complete genome	Enterovirus
10591	10572.0	17	JX417822	Enterovirus C	Partial genome	Enterovirus
10592	10573.0	18	EF015886	Enterovirus C	Complete genome	Enterovirus
10593	10574.0	19	EF555644	Enterovirus C	Complete genome	Enterovirus
10594	10575.0	20	EF555645	Enterovirus C	Complete genome	Enterovirus
10595	10576.0	21	EU840733	Enterovirus C	Partial genome	Enterovirus
10596	10577.0	22	JX393302	Enterovirus C	Complete genome	Enterovirus
10597	10578.0	23	GQ865517	Enterovirus C	Complete genome	Enterovirus
10598	10579.0	24	KC344833	Enterovirus C	Complete genome	Enterovirus
10599	10580.0	25	JX514942	Enterovirus C	Complete genome	Enterovirus
10600	10581.0	26	JX262382	Enterovirus C	Complete genome	Enterovirus
10601	10582.0	27	JX961708	Enterovirus C	Complete genome	Enterovirus
10603	10584.0	2	AY355268	Enterovirus D	Partial genome	Enterovirus
10604	10585.0	3	D00820	Enterovirus D	Complete genome	Enterovirus
10605	10586.0	4	DQ916376	Enterovirus D	Complete genome	Enterovirus
10606	10587.0	5	JF416929; JF416932; JF416935; JF416938	Enterovirus D	Partial genome	Enterovirus
10607	10588.0	6	KF040080	Enterovirus D	Partial genome	Enterovirus
10609	10590.0	2	DQ092792	Enterovirus E	Complete genome	Enterovirus
10610	10591.0	3	DQ092786	Enterovirus E	Partial genome	Enterovirus
10611	10592.0	4	JQ690748; JQ690741	Enterovirus E	Partial genome	Enterovirus
10612	10593.0	5	KU172420	Enterovirus E	Complete genome	Enterovirus
10614	10595.0	2	DQ092795	Enterovirus F	Complete genome	Enterovirus
10615	10596.0	3	DQ092794	Enterovirus F	Complete genome	Enterovirus
10616	10597.0	4	AY462106	Enterovirus F	Complete genome	Enterovirus
10617	10598.0	5		Enterovirus F	No entry in Genbank	Enterovirus
10618	10599.0	6		Enterovirus F	No entry in Genbank	Enterovirus
10619	10600.0	7	LC038188	Enterovirus F	Complete genome	Enterovirus
10621	10602.0	2	AF363455	Enterovirus G	Complete genome	Enterovirus
10622	10603.0	3	HQ702854	Enterovirus G	Complete genome	Enterovirus
10623	10604.0	4	JN807387	Enterovirus G	Complete genome	Enterovirus
10624	10605.0	5	JQ277724	Enterovirus G	Complete genome	Enterovirus
10625	10606.0	6	JQ818253	Enterovirus G	Complete genome	Enterovirus
10626	10607.0	7	MG958646	Enterovirus G	Complete genome	Enterovirus
10627	10608.0	8	KT265911	Enterovirus G	Complete genome	Enterovirus
10628	10609.0	9	KT265961	Enterovirus G	Complete genome	Enterovirus
10629	10610.0	10	KP982873	Enterovirus G	Complete genome	Enterovirus
10630	10611.0	11	KJ156451	Enterovirus G	Partial genome	Enterovirus
10631	10612.0	12	KT265900	Enterovirus G	Partial genome	Enterovirus
10632	10613.0	13	KT265903	Enterovirus G	Partial genome	Enterovirus
10633	10614.0	14	KT265909	Enterovirus G	Partial genome	Enterovirus
10634	10615.0	15	KT265941	Enterovirus G	Partial genome	Enterovirus
10635	10616.0	16	KT266010	Enterovirus G	Partial genome	Enterovirus
10636	10617.0	17	KY761948	Enterovirus G	Complete genome	Enterovirus
10637	10618.0	18	MF113370	Enterovirus G	Partial genome	Enterovirus
10638	10619.0	19	MF113372	Enterovirus G	Partial genome	Enterovirus
10639	10620.0	20	KU297674	Enterovirus G	Complete genome	Enterovirus
10642	10623.0	2	KP345888	Enterovirus I	Complete genome	Enterovirus
10644	10625.0	2	FJ007373	Enterovirus J	Complete genome	Enterovirus
10645	10626.0	3	AF414372	Enterovirus J	Complete genome	Enterovirus
10646	10627.0	4	JX537981	Enterovirus J	Partial genome	Enterovirus
10647	10628.0	5	JX537991	Enterovirus J	Partial genome	Enterovirus
10648	10629.0	6	KF541639; KF648606	Enterovirus J	Partial genome	Enterovirus
10650	10631.0	2	KX156159	Enterovirus K	Coding-complete genome	Enterovirus
10653	10634.0	2	D00239	Rhinovirus A	Complete genome	Enterovirus
10654	10635.0	3	X02316	Rhinovirus A	Complete genome	Enterovirus
10655	10636.0	4	DQ473503	Rhinovirus A	Complete genome	Enterovirus
